species,unique_images,percentage
opossum,16634,6.840285059853522
coyote,16350,6.72349769920675
rabbit,12378,5.090119542555422
deer,12191,5.013220822692936
raccoon,10981,4.515640870641549
bird,9522,3.915666366473803
bobcat,7984,3.2832052373374125
cat,5167,2.1247897621896805
squirrel,4434,1.8233632292527664
rodent,4274,1.7575675331137401
dog,4195,1.725080908145096
cow,3626,1.4910949637506836
fox,2574,1.0584882616365856
skunk,1892,0.7780341068439861
lizard,309,0.12706793816849457
mountain_lion,145,0.05962734962599259
badger,48,0.01973870884170789
insect,6,0.0024673386052134864
bat,3,0.0012336693026067432
pig,2,0.0008224462017378288
