species,count,percentage
empty,125745,51.29978214574204
opossum,16698,6.81222921205297
coyote,16601,6.772656434859944
rabbit,12519,5.107336058551391
deer,12196,4.975562790166369
raccoon,11390,4.646741569366591
bird,10003,4.080891652183846
bobcat,8098,3.3037149454548422
cat,5297,2.1610000081593355
car,4717,1.9243792785515548
dog,4512,1.84074608963846
squirrel,4450,1.8154521495769385
rodent,4279,1.7456898310201616
cow,3626,1.4792875268238155
fox,2574,1.0501064793283235
skunk,1898,0.7743209393027032
lizard,309,0.12606173353242112
mountain_lion,145,0.05915518240194519
badger,50,0.020398338759291444
insect,6,0.002447800651114973
bat,3,0.0012239003255574866
pig,2,0.0008159335503716578
